 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
04/01/2022,21:47:00,1o de mayo,"25.7509045, -100.3489967",1,1,1o de mayo,0.001529052
29/01/2022,21:07:00,2 de abril,"25.6600213, -100.3175798",2,1,2 de abril,0.001529052
25/01/2022,18:55:00,20 de noviembre,"25.6719612, -100.3357791",3,1,20 de noviembre,0.001529052
31/01/2022,16:32:00,25 de abril,"25.7550931, -100.3523711",4,1,25 de abril,0.001529052
03/01/2022,16:22:00,32a avenida,"25.7058144, -100.3680424",5,1,32a avenida,0.001529052
10/01/2022,18:10:00,5 de mayo,"25.6759036, -100.3356337",6,2,5 de mayo,0.003058104
27/01/2022,17:05:00,5 de mayo,"25.6746109, -100.3241976",7,2,aaron saenz,0.003058104
18/01/2022,22:20:00,aaron saenz,"25.6742345, -100.3756234",8,1,adolfo prieto,0.001529052
24/01/2022,09:10:00,aaron saenz,"25.6742345, -100.3756234",9,1,aguaturma,0.001529052
07/01/2022,17:30:00,adolfo prieto,"25.6773122, -100.2926977",10,1,albahaca,0.001529052
08/01/2022,23:59:00,aguaturma,"25.7415878, -100.3785908",11,1,alejandro de rodas,0.001529052
23/01/2022,17:33:00,albahaca,"25.7705129, -100.3867988",12,1,alejandro magno,0.001529052
28/01/2022,17:55:00,alejandro de rodas,"25.7317175, -100.3937266",13,14,alfonso reyes,0.021406728
10/01/2022,18:33:00,alejandro magno,"25.7161251, -100.3743323",14,7,almazan,0.010703364
03/01/2022,16:21:00,alfonso reyes,"25.6390178, -100.2847259",15,2,alvarez,0.003058104
03/01/2022,17:52:00,alfonso reyes,"25.6370153, -100.2889252",16,1,amado nervo,0.001529052
05/01/2022,17:01:00,alfonso reyes,"25.6409509, -100.2733976",17,1,angela peralta,0.001529052
06/01/2022,16:38:00,alfonso reyes,"25.6390178, -100.2847259",18,3,ant cam a villa de santiago,0.004587156
08/01/2022,20:32:00,alfonso reyes,"25.6351581, -100.2981361",19,1,antigua carretera nacional,0.001529052
09/01/2022,22:11:00,alfonso reyes,"25.7056567, -100.3148908",20,3,antiguos ejidatarios,0.004587156
11/01/2022,16:40:00,alfonso reyes,"25.6290318, -100.2854309",21,1,antonio coello,0.001529052
22/01/2022,18:40:00,alfonso reyes,"25.6290318, -100.2854309",22,1,antonio i villarreal,0.001529052
22/01/2022,18:50:00,alfonso reyes,"25.6379165, -100.2947982",23,2,antonio l rodriguez,0.003058104
24/01/2022,10:49:00,alfonso reyes,"25.7056567, -100.3148908",24,1,antonio orozco,0.001529052
25/01/2022,19:42:00,alfonso reyes,"25.6913456, -100.3168621",25,1,antonio trujillo,0.001529052
28/01/2022,16:06:00,alfonso reyes,"25.6290318, -100.2854309",26,1,apolo,0.001529052
28/01/2022,17:44:00,alfonso reyes,"25.6351581, -100.2981361",27,4,aramberri,0.006116208
28/01/2022,20:06:00,alfonso reyes,"25.6390178, -100.2847259",28,1,arcos de capri,0.001529052
04/01/2022,19:11:00,almazan,"25.7381391, -100.3348385",29,3,arteaga,0.004587156
04/01/2022,22:02:00,almazan,"25.7381391, -100.3348385",30,1,arturo b de la garza,0.001529052
06/01/2022,19:20:00,almazan,"25.7381391, -100.3348385",31,1,asistencia,0.001529052
13/01/2022,18:18:00,almazan,"25.7381391, -100.3348385",32,2,av fundidora,0.003058104
15/01/2022,20:05:00,almazan,"25.7385013, -100.3348441",33,2,av san francisco,0.003058104
26/01/2022,19:16:00,almazan,"25.7390878, -100.3362378",34,2,av san jeronimo,0.003058104
29/01/2022,16:52:00,almazan,"25.7390878, -100.3362378",35,1,av san nicolas,0.001529052
13/01/2022,18:49:00,alvarez,"25.6740701, -100.3242676",36,1,azteca prol,0.001529052
17/01/2022,17:03:00,alvarez,"25.6740701, -100.3242676",37,15,aztlan,0.02293578
11/01/2022,17:15:00,amado nervo,"25.6803673, -100.3205582",38,1,bacteriologos,0.001529052
26/01/2022,17:15:00,angela peralta,"25.67104, -100.3353438",39,1,balcones de las mitras,0.001529052
03/01/2022,20:23:00,ant cam a villa de santiago,"25.802657, -100.3706769",40,6,bernardo reyes,0.009174312
19/01/2022,17:30:00,ant cam a villa de santiago,"25.802657, -100.3706769",41,1,blvd acapulco,0.001529052
19/01/2022,18:47:00,ant cam a villa de santiago,"25.5643822, -100.2341331",42,5,cabezada,0.00764526
26/01/2022,18:28:00,antigua carretera nacional,"25.6619121, -100.2989456",43,1,calle h,0.001529052
11/01/2022,16:35:00,antiguos ejidatarios,"25.7741513, -100.4114707",44,1,camaron,0.001529052
19/01/2022,16:49:00,antiguos ejidatarios,"25.7741513, -100.4114707",45,2,camelia,0.003058104
24/01/2022,12:41:00,antiguos ejidatarios,"25.7741513, -100.4114707",46,1,camino a la rioja,0.001529052
04/01/2022,16:48:00,antonio coello,"25.6847344, -100.297115",47,2,camino del pastizal,0.003058104
26/01/2022,20:25:00,antonio i villarreal,"25.6840927, -100.2777048",48,2,camino real,0.003058104
09/01/2022,17:52:00,antonio l rodriguez,"25.673329, -100.3569021",49,1,capricornio,0.001529052
19/01/2022,19:29:00,antonio l rodriguez,"25.6705377, -100.3652593",50,1,carlos salazar,0.001529052
29/01/2022,18:40:00,antonio orozco,"25.7512206, -100.3591945",51,10,carretera nacional,0.01529052
13/01/2022,20:19:00,antonio trujillo,"25.7286249, -100.3330978",52,1,castelar,0.001529052
05/01/2022,23:40:00,apolo,"25.7689605, -100.3674719",53,1,cenizo,0.001529052
05/01/2022,17:51:00,aramberri,"25.6764632, -100.3172189",54,1,cerezo,0.001529052
12/01/2022,18:45:00,aramberri,"25.6764632, -100.3172189",55,1,cerro de las mitras,0.001529052
15/01/2022,17:31:00,aramberri,"25.6764632, -100.3172189",56,1,cerro del mercado,0.001529052
22/01/2022,17:20:00,aramberri,"25.6764632, -100.3172189",57,6,chapultepec,0.009174312
14/01/2022,16:40:00,arcos de capri,"25.7665989, -100.3972381",58,7,churubusco,0.010703364
17/01/2022,19:00:00,arteaga,"25.6834076, -100.3162895",59,1,cipres,0.001529052
21/01/2022,20:11:00,arteaga,"25.6834076, -100.3162895",60,1,colegio civil,0.001529052
23/01/2022,19:41:00,arteaga,"25.6834076, -100.3162895",61,17,colon,0.025993884
06/01/2022,16:10:00,arturo b de la garza,"25.7215824, -100.358911",62,2,condor,0.003058104
10/01/2022,20:55:00,asistencia,"25.5810153, -100.2383311",63,7,constitucion,0.010703364
03/01/2022,17:20:00,av fundidora,"25.6788381, -100.2904779",64,1,constituyentes de nl,0.001529052
26/01/2022,23:45:00,av fundidora,"25.6788381, -100.2904779",65,1,contrato colectivo,0.001529052
16/01/2022,18:10:00,av san francisco,"25.6665924, -100.3458451",66,1,coyoacan,0.001529052
24/01/2022,13:51:00,av san francisco,"25.6665924, -100.3458451",67,7,cuauhtemoc,0.010703364
14/01/2022,18:50:00,av san jeronimo,"25.6751802, -100.3612681",68,1,cumbres san agustin,0.001529052
22/01/2022,20:14:00,av san jeronimo,"25.6751802, -100.3612681",69,3,de los astros,0.004587156
23/01/2022,19:08:00,av san nicolas,"25.7015622, -100.3006367",70,1,de los colonos,0.001529052
16/01/2022,16:13:00,azteca prol,"25.7393325, -100.3474664",71,1,de los profesionistas,0.001529052
02/01/2022,20:43:00,aztlan,"25.7534746, -100.3701372",72,1,de los propietarios,0.001529052
05/01/2022,17:08:00,aztlan,"25.7563381, -100.3897967",73,1,derecho de huelga,0.001529052
05/01/2022,21:20:00,aztlan,"25.7491241, -100.3625711",74,1,dia del trabajo,0.001529052
08/01/2022,18:50:00,aztlan,"25.7419696, -100.3551691",75,3,diaz ordaz,0.004587156
09/01/2022,18:46:00,aztlan,"25.7491241, -100.3625711",76,1,edison,0.001529052
12/01/2022,18:01:00,aztlan,"25.7491241, -100.3625711",77,1,elias reynoso santana,0.001529052
12/01/2022,18:07:00,aztlan,"25.7372336, -100.3572671",78,2,emilio carranza,0.003058104
12/01/2022,20:00:00,aztlan,"25.7567758, -100.3509303",79,1,emilio portes gil,0.001529052
15/01/2022,17:11:00,aztlan,"25.763984, -100.3789961",80,2,enrique c livas,0.003058104
22/01/2022,22:30:00,aztlan,"25.7534746, -100.3701372",81,1,espinosa,0.001529052
24/01/2022,12:25:00,aztlan,"25.7484012, -100.3618302",82,1,esquisto,0.001529052
25/01/2022,17:35:00,aztlan,"25.7419696, -100.3551691",83,1,felipe angeles,0.001529052
26/01/2022,23:44:00,aztlan,"25.7667459, -100.3775735",84,1,felipe de jesus benavides,0.001529052
27/01/2022,21:18:00,aztlan,"25.7534746, -100.3701372",85,4,felix u gomez,0.006116208
28/01/2022,20:05:00,aztlan,"25.7563381, -100.3897967",86,1,ferrocarrilera,0.001529052
28/01/2022,18:06:00,bacteriologos,"25.7915715, -100.4050739",87,19,fidel velazquez,0.029051988
23/01/2022,22:42:00,balcones de las mitras,"25.7450963, -100.3716585",88,1,francisco g sada,0.001529052
01/01/2022,17:41:00,bernardo reyes,"25.7326066, -100.3326754",89,1,frijol,0.001529052
13/01/2022,23:30:00,bernardo reyes,"25.7238037, -100.3306357",90,1,fundadores del ejido,0.001529052
17/01/2022,18:02:00,bernardo reyes,"25.7146996, -100.3287058",91,1,galeana,0.001529052
22/01/2022,16:23:00,bernardo reyes,"25.7054351, -100.3266576",92,23,garza sada,0.035168196
30/01/2022,16:30:00,bernardo reyes,"25.6929268, -100.3240908",93,44,gonzalitos,0.067278287
31/01/2022,17:56:00,bernardo reyes,"25.7258676, -100.331077",94,1,grupera,0.001529052
24/01/2022,14:22:00,blvd acapulco,"25.6227278, -100.2810079",95,1,guadalupe victoria,0.001529052
05/01/2022,17:36:00,cabezada,"25.7667459, -100.3775735",96,5,guerrero,0.00764526
14/01/2022,16:47:00,cabezada,"25.7755337, -100.3821164",97,4,hidalgo,0.006116208
17/01/2022,19:30:00,cabezada,"25.7791498, -100.3916966",98,4,hilario martinez,0.006116208
17/01/2022,21:50:00,cabezada,"25.779373, -100.394818",99,1,huelga de cananea,0.001529052
30/01/2022,16:15:00,cabezada,"25.7791498, -100.3916966",100,1,insurgentes,0.001529052
31/01/2022,18:21:00,calle h,"25.7743369, -100.3839524",101,1,isaac garza,0.001529052
30/01/2022,20:57:00,camaron,"25.7515745, -100.3800959",102,1,j g leal,0.001529052
13/01/2022,23:56:00,camelia,"25.6980313, -100.287833",103,1,jacala,0.001529052
23/01/2022,22:50:00,camelia,"25.6980313, -100.287833",104,1,jalisco,0.001529052
12/01/2022,20:10:00,camino a la rioja,"25.6622922, -100.2746388",105,1,jardin de babilonia,0.001529052
16/01/2022,16:40:00,camino del pastizal,"25.7686956, -100.4088914",106,1,jesus urueta,0.001529052
29/01/2022,16:11:00,camino del pastizal,"25.7788033, -100.4024468",107,2,jimenez,0.003058104
08/01/2022,23:46:00,camino real,"25.7698543, -100.369114",108,2,jose a conchello,0.003058104
09/01/2022,20:06:00,camino real,"25.7674539, -100.3667372",109,1,jose garza ramirez,0.001529052
13/01/2022,17:23:00,capricornio,"25.6375585, -100.2827469",110,1,jose luna ayala,0.001529052
10/01/2022,17:56:00,carlos salazar,"25.6823972, -100.2750785",111,1,jose marti,0.001529052
02/01/2022,16:10:00,carretera nacional,"25.5559428, -100.2323895",112,1,jose refugio velazquez,0.001529052
04/01/2022,17:46:00,carretera nacional,"25.5704723, -100.236613",113,2,juan g alvarado,0.003058104
04/01/2022,17:46:00,carretera nacional,"25.5704723, -100.236613",114,1,juan i ramon,0.001529052
05/01/2022,20:05:00,carretera nacional,"25.6622922, -100.2746388",115,1,juan mendez,0.001529052
05/01/2022,20:16:00,carretera nacional,"25.4187497, -100.1430769",116,5,juarez,0.00764526
08/01/2022,20:30:00,carretera nacional,"25.6622922, -100.2746388",117,5,julio a roca,0.00764526
08/01/2022,20:45:00,carretera nacional,"25.6622922, -100.2746388",118,1,junco de la vega,0.001529052
15/01/2022,17:18:00,carretera nacional,"25.4187497, -100.1430769",119,1,justiniano,0.001529052
29/01/2022,16:13:00,carretera nacional,"25.4187497, -100.1430769",120,2,juventino rosas,0.003058104
29/01/2022,16:15:00,carretera nacional,"25.4187497, -100.1430769",121,1,la alianza,0.001529052
22/01/2022,16:20:00,castelar,"25.6289636, -100.2820706",122,3,la luz,0.004587156
08/01/2022,19:30:00,cenizo,"25.7674216, -100.3862482",123,1,lago erie,0.001529052
23/01/2022,18:18:00,cerezo,"25.6997879, -100.2833684",124,1,laredo,0.001529052
13/01/2022,17:32:00,cerro de las mitras,"25.7401645, -100.3866448",125,1,las rocas,0.001529052
05/01/2022,20:30:00,cerro del mercado,"25.6243277, -100.2921749",126,9,lazaro cardenas,0.013761468
03/01/2022,16:17:00,chapultepec,"25.6669462, -100.2822793",127,1,leon guzman,0.001529052
05/01/2022,18:25:00,chapultepec,"25.6669462, -100.2822793",128,40,leones,0.06116208
13/01/2022,20:10:00,chapultepec,"25.6669462, -100.2822793",129,1,ley de reforma agraria,0.001529052
17/01/2022,18:37:00,chapultepec,"25.6669462, -100.2822793",130,1,libertad,0.001529052
19/01/2022,19:28:00,chapultepec,"25.6669462, -100.2822793",131,32,lincoln,0.048929664
29/01/2022,16:21:00,chapultepec,"25.6669462, -100.2822793",132,6,luis d colosio,0.009174312
05/01/2022,17:18:00,churubusco,"25.6984897, -100.2683899",133,1,luis echeverria,0.001529052
06/01/2022,21:05:00,churubusco,"25.6974177, -100.2681815",134,1,luis m farias,0.001529052
07/01/2022,22:33:00,churubusco,"25.6984897, -100.2683899",135,1,luis moreno,0.001529052
10/01/2022,19:52:00,churubusco,"25.6838204, -100.2682107",136,19,madero,0.029051988
18/01/2022,16:52:00,churubusco,"25.6838204, -100.2682107",137,3,madero prol,0.004587156
21/01/2022,18:15:00,churubusco,"25.6838204, -100.2682107",138,1,magallanes,0.001529052
31/01/2022,16:46:00,churubusco,"25.6984897, -100.2683899",139,1,manuel de la peña y peña,0.001529052
26/01/2022,17:16:00,cipres,"25.6283428, -100.2867367",140,4,manuel l barragan,0.006116208
14/01/2022,18:53:00,colegio civil,"25.6779843, -100.3150835",141,1,mar de japon,0.001529052
03/01/2022,16:25:00,colon,"25.6876835, -100.331672",142,1,mar de las antillas,0.001529052
03/01/2022,16:32:00,colon,"25.6876835, -100.331672",143,1,marcelino m lacas,0.001529052
03/01/2022,18:33:00,colon,"25.6876835, -100.331672",144,1,mariano azueta,0.001529052
09/01/2022,17:50:00,colon,"25.6876835, -100.331672",145,3,matamoros,0.004587156
13/01/2022,17:33:00,colon,"25.6883017, -100.3369083",146,2,miguel barragan,0.003058104
13/01/2022,19:08:00,colon,"25.6839012, -100.2835786",147,1,mision cumbres,0.001529052
14/01/2022,18:42:00,colon,"25.6876835, -100.331672",148,1,mm de llano,0.001529052
15/01/2022,23:01:00,colon,"25.6876835, -100.331672",149,2,modesto arreola,0.003058104
17/01/2022,16:55:00,colon,"25.6817363, -100.2753155",150,1,monte everest,0.001529052
22/01/2022,16:09:00,colon,"25.6881149, -100.3349709",151,11,morones prieto,0.016819572
24/01/2022,11:15:00,colon,"25.6876835, -100.331672",152,1,muserola,0.001529052
28/01/2022,16:16:00,colon,"25.6876835, -100.331672",153,1,napoleon bonaparte,0.001529052
28/01/2022,21:29:00,colon,"25.6817363, -100.2753155",154,1,nardo,0.001529052
30/01/2022,21:25:00,colon,"25.6876835, -100.331672",155,3,nepenta,0.004587156
30/01/2022,22:50:00,colon,"25.6883017, -100.3369083",156,1,niños heroes,0.001529052
31/01/2022,16:20:00,colon,"25.6876835, -100.331672",157,6,no reeleccion,0.009174312
31/01/2022,17:47:00,colon,"25.6876835, -100.331672",158,1,nogal,0.001529052
05/01/2022,18:44:00,condor,"25.7384582, -100.3730829",159,1,nopal,0.001529052
07/01/2022,17:12:00,condor,"25.7384582, -100.3730829",160,1,nueva independencia,0.001529052
10/01/2022,18:27:00,constitucion,"25.6674883, -100.3312605",161,1,nuevo mexico,0.001529052
11/01/2022,17:29:00,constitucion,"25.6727925, -100.352228",162,1,ocampo,0.001529052
13/01/2022,21:43:00,constitucion,"25.664449, -100.3140082",163,1,orion,0.001529052
14/01/2022,19:25:00,constitucion,"25.7633006, -100.2419641",164,1,osvaldo sanchez,0.001529052
21/01/2022,19:30:00,constitucion,"25.6674883, -100.3312605",165,2,pablo a de la garza,0.003058104
23/01/2022,17:11:00,constitucion,"25.7633006, -100.2419641",166,3,pablo gonzalez g.,0.004587156
23/01/2022,18:51:00,constitucion,"25.7633006, -100.2419641",167,1,padre mier,0.001529052
31/01/2022,19:54:00,constituyentes de nl,"25.6978458, -100.2617702",168,1,palacio de justicia,0.001529052
22/01/2022,18:20:00,contrato colectivo,"25.7378744, -100.38198",169,1,paseo de cumbres,0.001529052
31/01/2022,16:02:00,coyoacan,"25.7409305, -100.359152",170,1,pedro infante,0.001529052
05/01/2022,17:18:00,cuauhtemoc,"25.6757314, -100.3183984",171,1,pedro martinez,0.001529052
08/01/2022,19:47:00,cuauhtemoc,"25.6757314, -100.3183984",172,1,pelicano,0.001529052
13/01/2022,17:33:00,cuauhtemoc,"25.6757314, -100.3183984",173,2,penitenciaria,0.003058104
